"Hogar","Factor","Comuna","Personas","Vehículos","BicicletasAdulto","BicicletasNino","IngresoHogar","Hombres","Mujeres","LicenciasdeConducir","PasesEscolares","Trabajadores","Estudiantes","Jubilados","DuenosdeCasa","Desempleados","Otros","Niños","Jovenes","AdultoJovenes","Adultos","AdultoMayores","Discapacidad","ViajesTrabajo","ViajesEstudio","ViajesOtro"
"1707","63.603355407715","ISLA DE MAIPO","3","1","1","0","530544","2","1","1","1","2","1","0","0","0","0","0","0","0","3","0","0","2","0","4"
"1708","71.980857849121","RECOLETA","3","0","0","0","330000","1","2","0","0","1","0","1","1","0","0","0","0","0","2","1","1","2","0","0"
"1709","43.113914489746","LAS CONDES","2","2","0","0","1425553","1","1","2","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"1710","53.490005493164","PUENTE ALTO","4","1","0","0","576429","3","1","2","2","1","2","0","1","0","0","0","0","1","3","0","0","2","2","4"
"1711","94.616943359375","ÑUÑOA","4","2","4","0","710564","3","1","3","1","1","2","0","1","0","0","0","0","0","4","0","0","2","2","11"
"1712","222.06936645508","RENCA","5","1","1","0","742385","3","2","1","2","2","2","0","1","0","0","0","1","2","2","0","0","4","4","2"
"1713","121.69312286377","LAS CONDES","1","0","1","0","591985","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","2","0","0"
"1714","139.00198364258","LO BARNECHEA","2","1","2","0","120405","1","1","1","0","0","2","0","0","0","0","0","1","0","1","0","0","0","2","11"
"1715","105.7169342041","LO ESPEJO","4","0","0","0","766512","1","3","1","1","2","1","1","0","0","0","0","0","2","0","2","0","2","0","5"
"1716","118.91830444336","LAS CONDES","3","2","98","98","2400195","1","2","2","0","2","0","0","1","0","0","0","0","0","3","0","0","1","1","9"
"1717","101.54786682129","PUENTE ALTO","3","0","0","0","597240","1","2","0","0","2","1","0","0","0","0","0","0","1","2","0","0","4","0","0"
"1718","93.034049987793","PADRE HURTADO","6","0","0","1","550000","4","2","1","0","1","2","2","1","0","0","0","2","0","2","2","1","2","4","3"
"1719","130.47364807129","ÑUÑOA","1","1","1","0","1403567","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","3","0","0"
"1720","65.667343139648","MAIPU","3","1","1","0","203104","1","2","1","2","1","1","0","0","1","0","0","1","0","2","0","0","0","0","4"
"1721","61.384834289551","SAN BERNARDO","3","1","0","0","434032","1","2","2","0","1","0","0","2","1","0","0","0","0","2","1","1","2","0","0"
"1722","58.864295959473","LA REINA","4","1","0","0","795625","2","2","4","1","0","1","1","1","0","3","0","0","0","2","2","0","0","0","11"
"1723","46.068359375","MELIPILLA","3","0","1","0","277661","1","2","1","1","1","1","0","1","0","0","0","1","0","2","0","0","2","0","2"
"1724","100.99859619141","LA REINA","4","1","0","0","530125","0","4","2","2","1","2","0","0","0","1","0","1","1","2","0","1","1","4","7"
"1725","124.09717559815","EL BOSQUE","2","0","0","0","361014","1","1","0","0","1","0","1","0","0","0","0","0","0","2","0","0","1","0","2"
"1726","45.771945953369","QUILICURA","6","1","1","1","624533","3","3","2","2","1","4","0","1","0","0","0","4","0","2","0","0","2","8","2"
"1727","79.751388549805","PUENTE ALTO","5","0","1","0","520000","1","4","0","2","2","3","0","0","0","0","0","2","1","2","0","0","4","0","2"
"1728","102.19490814209","SAN BERNARDO","2","0","0","0","238030","1","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","2","2","0"
"1729","102.56314086914","MAIPU","3","0","1","0","391608","1","2","0","1","1","2","0","0","0","0","0","1","1","1","0","0","2","3","4"
"1730","132.64833068848","SAN MIGUEL","3","1","0","0","768455","1","2","1","0","1","0","0","2","0","0","0","0","0","2","1","1","2","0","4"
"1731","123.54421234131","EL BOSQUE","3","0","1","0","386500","1","2","0","1","1","1","0","0","0","1","0","0","0","3","0","0","2","2","0"
"1732","81.162010192871","CONCHALI","3","0","0","0","739058","1","2","0","0","2","0","1","0","0","0","0","0","0","2","1","0","4","0","2"
"1733","53.981861114502","MAIPU","5","1","1","0","755522","4","1","2","1","2","1","0","0","2","0","0","0","1","4","0","0","4","2","4"
"1734","158.88064575195","PUENTE ALTO","5","2","0","1","496311","1","4","2","2","1","3","0","1","0","0","0","2","1","2","0","0","2","8","6"
"1735","124.5686340332","SANTIAGO","2","0","0","0","606188","0","2","0","0","0","0","0","1","0","2","0","0","0","1","1","1","0","0","2"
"1736","228.59538269043","SANTIAGO","2","1","2","0","1004323","1","1","2","0","2","0","0","0","0","0","0","0","0","2","0","0","2","0","2"
"1737","127.62396240234","SANTIAGO","2","0","0","0","1114581","2","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","4","0","0"
"1738","89.785697937012","PEÑAFLOR","2","0","1","0","97909","1","1","0","0","0","0","1","1","0","0","0","0","0","0","2","0","2","0","2"
"1739","196.16485595703","RECOLETA","2","1","1","0","1276359","1","1","1","0","2","0","0","0","0","0","0","0","0","2","0","0","2","0","0"
